,time,product url,product name,model no,selling price,discount%,seller,seller raitng,product rating,currency,position,brand,market,,most expensive:,most expensive item:
1259,22:10.4,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
1260,22:12.7,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1261,22:14.8,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1262,22:21.0,https://www.noon.com/egypt-en/18d-141-yoga-roller-multi-color-30cm/N46040265A/p/?o=a24c899da00f436f,18D-141 Yoga Roller Multi Color 30cm,Model Number : 2025518283,215,13,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
1263,22:23.0,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f,Full Round Foam Roller 15x45centimeter,Model Number : BB-021-45cm,519.85,22,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
1264,22:32.6,https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=a49569a510c8250e,Red Floor Sand Bag 180cm,Model Number : 25045,2249,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
1265,22:38.4,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1,Athlete Home 5mm Mat With Bag,Model Number : 6555,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1266,22:39.1,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1,Exercise Mat 5Mm Eva,Model Number : 31512,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1267,22:48.4,https://www.noon.com/egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1,Athlete Home Foam Roller multi Color,Model Number : 6034,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
1268,22:51.3,https://www.noon.com/egypt-en/non-slip-yoga-mat-with-carrying-bag/N39552148A/p/?o=fb086e376afc5e3c,Non Slip Yoga Mat With Carrying Bag,Model Number : 1004591,166,19,Bekstore,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Generic,noon-marketplace,,,
1269,22:52.6,https://www.noon.com/egypt-en/leather-gym-sand-bag-120cm/N52997041A/p/?o=a5bbac76bcbe721f,Leather Gym Sand Bag 120cm,Model Number : 22797,599,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
1270,22:59.2,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z1A602F6AF04BED4E260FZ/p/?o=z1a602f6af04bed4e260fz-1,Exercise Mat 5Mm Eva,Model Number : 31506,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1271,23:10.9,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1,Exercise Mat 5Mm Eva,Model Number : 31505,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1272,23:12.0,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1,Exercise Mat 5Mm Eva,Model Number : 31516,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1273,23:21.2,https://www.noon.com/egypt-en/11-piece-yoga-resistance-belt-with-bag-22x6x19-00centimeter/N37380614A/p/?o=c672b23f5ce8f72a,11-Piece Yoga Resistance Belt With Bag 22x6x19.00centimeter,Model Number : Y14484,250,13,Vision Technology,4.7,4.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaYoga Belts",LIXADA,noon-marketplace,,,
1274,23:22.2,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z7A2D36755772059676BEZ/p/?o=z7a2d36755772059676bez-1,Exercise Mat 5Mm Eva,Model Number : 31508,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1275,23:24.2,https://www.noon.com/egypt-en/yoga-mat-6-5-mm/N52252467A/p/?o=cc1f3bc4a124b6ac,Yoga Mat 6.5 Mm,Model Number : BB-8311,255,8,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1276,23:25.0,https://www.noon.com/egypt-en/18d-141-yoga-roller-blue-30cm/N46040261A/p/?o=c65abb8dd159c71b,18D-141 Yoga Roller Blue 30cm,Model Number : 2025518276,189,29,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
1277,23:27.0,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1,Power Pull High End Mat,Model Number : 6849,375,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1278,23:27.7,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1,Athlete Home Yoga Foam Roller 45cm,Model Number : 5410,225,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
1279,23:28.4,https://www.noon.com/egypt-en/swiss-ball-76cm/N52252584A/p/?o=d3765f41c82ec5ed,Swiss Ball 76cm,Model Number : BB-001TABL-30,509,37,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaSwiss Balls",BODY SCULPTURE,noon-express,,,
1280,23:29.3,https://www.noon.com/egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf,Cork Yoga Mat,Model Number : QB-8380,792.65,24,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1281,23:30.7,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
1282,23:33.3,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1283,23:42.6,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1284,23:46.7,https://www.noon.com/egypt-en/18d-141-yoga-roller-multi-color-30cm/N46040265A/p/?o=a24c899da00f436f,18D-141 Yoga Roller Multi Color 30cm,Model Number : 2025518283,215,13,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
1285,23:47.2,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f,Full Round Foam Roller 15x45centimeter,Model Number : BB-021-45cm,519.85,22,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
1286,23:49.0,https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=a49569a510c8250e,Red Floor Sand Bag 180cm,Model Number : 25045,2249,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
1287,23:51.3,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1,Athlete Home 5mm Mat With Bag,Model Number : 6555,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1288,23:51.8,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1,Exercise Mat 5Mm Eva,Model Number : 31512,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1289,24:01.1,https://www.noon.com/egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1,Athlete Home Foam Roller multi Color,Model Number : 6034,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
1290,24:04.6,https://www.noon.com/egypt-en/non-slip-yoga-mat-with-carrying-bag/N39552148A/p/?o=fb086e376afc5e3c,Non Slip Yoga Mat With Carrying Bag,Model Number : 1004591,166,19,Bekstore,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Generic,noon-marketplace,,,
1291,24:06.0,https://www.noon.com/egypt-en/leather-gym-sand-bag-120cm/N52997041A/p/?o=a5bbac76bcbe721f,Leather Gym Sand Bag 120cm,Model Number : 22797,599,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
1292,24:08.5,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z1A602F6AF04BED4E260FZ/p/?o=z1a602f6af04bed4e260fz-1,Exercise Mat 5Mm Eva,Model Number : 31506,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1293,24:16.5,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1,Exercise Mat 5Mm Eva,Model Number : 31505,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1294,24:19.0,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1,Exercise Mat 5Mm Eva,Model Number : 31516,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1295,24:21.0,https://www.noon.com/egypt-en/11-piece-yoga-resistance-belt-with-bag-22x6x19-00centimeter/N37380614A/p/?o=c672b23f5ce8f72a,11-Piece Yoga Resistance Belt With Bag 22x6x19.00centimeter,Model Number : Y14484,250,13,Vision Technology,4.7,4.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaYoga Belts",LIXADA,noon-marketplace,,,
1296,24:24.9,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z7A2D36755772059676BEZ/p/?o=z7a2d36755772059676bez-1,Exercise Mat 5Mm Eva,Model Number : 31508,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1297,24:32.0,https://www.noon.com/egypt-en/yoga-mat-6-5-mm/N52252467A/p/?o=cc1f3bc4a124b6ac,Yoga Mat 6.5 Mm,Model Number : BB-8311,255,8,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1298,24:32.9,https://www.noon.com/egypt-en/18d-141-yoga-roller-blue-30cm/N46040261A/p/?o=c65abb8dd159c71b,18D-141 Yoga Roller Blue 30cm,Model Number : 2025518276,189,29,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
1299,24:35.7,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1,Power Pull High End Mat,Model Number : 6849,375,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1300,24:36.8,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1,Athlete Home Yoga Foam Roller 45cm,Model Number : 5410,225,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
1301,24:37.3,https://www.noon.com/egypt-en/swiss-ball-76cm/N52252584A/p/?o=d3765f41c82ec5ed,Swiss Ball 76cm,Model Number : BB-001TABL-30,509,37,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaSwiss Balls",BODY SCULPTURE,noon-express,,,
1302,24:38.7,https://www.noon.com/egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf,Cork Yoga Mat,Model Number : QB-8380,792.65,24,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1303,24:49.1,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
1304,24:51.8,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1305,24:53.5,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1306,25:03.7,https://www.noon.com/egypt-en/18d-141-yoga-roller-multi-color-30cm/N46040265A/p/?o=a24c899da00f436f,18D-141 Yoga Roller Multi Color 30cm,Model Number : 2025518283,215,13,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
1307,25:04.3,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f,Full Round Foam Roller 15x45centimeter,Model Number : BB-021-45cm,519.85,22,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
1308,25:05.2,https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=a49569a510c8250e,Red Floor Sand Bag 180cm,Model Number : 25045,2249,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
1309,25:05.7,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1,Athlete Home 5mm Mat With Bag,Model Number : 6555,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1310,25:06.7,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1,Exercise Mat 5Mm Eva,Model Number : 31512,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1311,25:21.8,https://www.noon.com/egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1,Athlete Home Foam Roller multi Color,Model Number : 6034,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
1312,25:24.0,https://www.noon.com/egypt-en/non-slip-yoga-mat-with-carrying-bag/N39552148A/p/?o=fb086e376afc5e3c,Non Slip Yoga Mat With Carrying Bag,Model Number : 1004591,166,19,Bekstore,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Generic,noon-marketplace,,,
1313,25:25.3,https://www.noon.com/egypt-en/leather-gym-sand-bag-120cm/N52997041A/p/?o=a5bbac76bcbe721f,Leather Gym Sand Bag 120cm,Model Number : 22797,599,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
1314,25:27.9,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z1A602F6AF04BED4E260FZ/p/?o=z1a602f6af04bed4e260fz-1,Exercise Mat 5Mm Eva,Model Number : 31506,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1315,25:35.5,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1,Exercise Mat 5Mm Eva,Model Number : 31505,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1316,25:37.5,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1,Exercise Mat 5Mm Eva,Model Number : 31516,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1317,25:40.8,https://www.noon.com/egypt-en/11-piece-yoga-resistance-belt-with-bag-22x6x19-00centimeter/N37380614A/p/?o=c672b23f5ce8f72a,11-Piece Yoga Resistance Belt With Bag 22x6x19.00centimeter,Model Number : Y14484,250,13,Vision Technology,4.7,4.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaYoga Belts",LIXADA,noon-marketplace,,,
1318,25:42.7,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z7A2D36755772059676BEZ/p/?o=z7a2d36755772059676bez-1,Exercise Mat 5Mm Eva,Model Number : 31508,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1319,25:45.9,https://www.noon.com/egypt-en/yoga-mat-6-5-mm/N52252467A/p/?o=cc1f3bc4a124b6ac,Yoga Mat 6.5 Mm,Model Number : BB-8311,255,8,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1320,25:46.6,https://www.noon.com/egypt-en/18d-141-yoga-roller-blue-30cm/N46040261A/p/?o=c65abb8dd159c71b,18D-141 Yoga Roller Blue 30cm,Model Number : 2025518276,189,29,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
1321,25:48.9,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1,Power Pull High End Mat,Model Number : 6849,375,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1322,25:49.6,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1,Athlete Home Yoga Foam Roller 45cm,Model Number : 5410,225,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
1323,25:50.6,https://www.noon.com/egypt-en/swiss-ball-76cm/N52252584A/p/?o=d3765f41c82ec5ed,Swiss Ball 76cm,Model Number : BB-001TABL-30,509,37,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaSwiss Balls",BODY SCULPTURE,noon-express,,,
1324,25:52.0,https://www.noon.com/egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf,Cork Yoga Mat,Model Number : QB-8380,792.65,24,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1325,25:56.7,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
1326,25:59.4,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1327,26:01.8,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
1328,26:12.3,https://www.noon.com/egypt-en/18d-141-yoga-roller-multi-color-30cm/N46040265A/p/?o=a24c899da00f436f,18D-141 Yoga Roller Multi Color 30cm,Model Number : 2025518283,215,13,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
1329,26:17.5,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f,Full Round Foam Roller 15x45centimeter,Model Number : BB-021-45cm,519.85,22,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
1330,26:19.2,https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=a49569a510c8250e,Red Floor Sand Bag 180cm,Model Number : 25045,2249,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
1331,26:19.9,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1,Athlete Home 5mm Mat With Bag,Model Number : 6555,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1332,26:21.1,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1,Exercise Mat 5Mm Eva,Model Number : 31512,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
1333,26:46.1,https://www.noon.com/egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1,Athlete Home Foam Roller multi Color,Model Number : 6034,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
